,body_type,co2Emissions,condition,doors,engine_size,isTradeSeller,make,manufactured_year,mileage,model,price,seats,transmission,location
1500,Coupe,137,Nearly New,2.0,2.0,False,Audi,2019.0,4000,A5,29900.0,4.0,Automatic,London
1501,SUV,117,Used,5.0,1.0,False,Audi,2018.0,11200,Q2,13999.0,5.0,Manual,London
1502,SUV,278,Nearly New,5.0,3.0,True,Maserati,2020.0,1000,Levante,64950.0,5.0,Automatic,London
1503,SUV,182,Nearly New,5.0,2.0,True,Jaguar,2019.0,1234,E-PACE,36990.0,5.0,Automatic,London
1504,Hatchback,107,Used,5.0,1.0,True,Vauxhall,2019.0,18549,Astra,10250.0,5.0,Manual,London
1505,Hatchback,120,Used,5.0,1.4,True,Vauxhall,2018.0,19699,Corsa,8299.0,5.0,Manual,London
1506,SUV,157,Used,5.0,1.6,True,Nissan,2018.0,8356,Juke,12700.0,5.0,Manual,London
1507,Saloon,130,Used,4.0,1.8,True,Audi,2018.0,28039,A6 Saloon,17499.0,5.0,Automatic,London
1508,Hatchback,102,Used,5.0,1.0,True,Ford,2018.0,31437,Fiesta,11300.0,5.0,Manual,London
1509,Hatchback,93,Nearly New,5.0,1.0,True,Toyota,2019.0,100,AYGO,10250.0,4.0,Manual,London
1510,Hatchback,93,Nearly New,5.0,1.0,True,Toyota,2019.0,2000,AYGO,10350.0,4.0,Manual,London
1511,Hatchback,138,Used,5.0,1.5,False,Vauxhall,2018.0,12590,Insignia,13500.0,5.0,Automatic,London
1512,Hatchback,106,Used,5.0,1.0,False,SEAT,2018.0,8500,Toledo,9100.0,5.0,Manual,London
1513,Coupe,357,Nearly New,2.0,6.6,True,Rolls-Royce,2019.0,2731,Wraith,228950.0,4.0,Automatic,London
1514,Saloon,130,Used,4.0,1.8,True,Audi,2018.0,15821,A6 Saloon,17799.0,5.0,Automatic,London
1515,Hatchback,108,Used,3.0,1.0,True,Ford,2018.0,8923,Fiesta,11600.0,5.0,Manual,London
1516,SUV,209,Nearly New,5.0,3.0,True,Land Rover,2019.0,7253,Range Rover Sport,69990.0,5.0,Automatic,London
1517,SUV,290,Used,5.0,5.0,True,Land Rover,2018.0,6700,Range Rover Sport,89999.0,5.0,Automatic,London
1520,Hatchback,97,Used,3.0,1.0,True,Ford,2018.0,32562,Fiesta,10100.0,5.0,Manual,London
1521,Hatchback,120,Used,5.0,1.4,True,Vauxhall,2018.0,14678,Corsa,8799.0,5.0,Manual,London
1522,Hatchback,107,Used,5.0,1.0,True,Vauxhall,2019.0,18549,Astra,10250.0,5.0,Manual,London
1523,SUV,257,Nearly New,5.0,3.0,True,Maserati,2020.0,1342,Levante,66950.0,5.0,Automatic,London
1524,Convertible,317,Nearly New,2.0,6.0,True,Bentley,2020.0,985,Continental,199980.0,4.0,Automatic,London
1525,Hatchback,93,Nearly New,5.0,1.0,True,Toyota,2019.0,2000,AYGO,10350.0,4.0,Manual,London
1526,Hatchback,95,Used,5.0,1.0,True,Toyota,2018.0,27870,AYGO,8200.0,4.0,Manual,London
1527,Coupe,357,Nearly New,2.0,6.6,True,Rolls-Royce,2019.0,2731,Wraith,228950.0,4.0,Automatic,London
1528,Coupe,233,Nearly New,2.0,3.0,True,Jaguar,2019.0,4571,F-Type,54790.0,2.0,Automatic,London
1529,Hatchback,120,Used,5.0,1.4,True,Vauxhall,2018.0,11714,Corsa,8799.0,5.0,Manual,London
1530,Coupe,164,Nearly New,2.0,3.0,False,BMW,2020.0,500,8 Series,62000.0,4.0,Automatic,London
1531,Hatchback,107,Used,5.0,1.0,True,Vauxhall,2019.0,18549,Astra,10250.0,5.0,Manual,London
1532,Saloon,130,Used,4.0,1.8,True,Audi,2018.0,15458,A6 Saloon,18000.0,5.0,Automatic,London
1533,SUV,278,Nearly New,5.0,3.0,True,Maserati,2020.0,1500,Levante,62950.0,5.0,Automatic,London
1535,Hatchback,120,Used,5.0,1.4,True,Vauxhall,2018.0,15697,Corsa,8799.0,5.0,Manual,London
1536,SUV,139,Used,5.0,1.6,True,Nissan,2019.0,10346,Juke,14000.0,5.0,Automatic,London
1537,SUV,303,Nearly New,5.0,3.0,True,Maserati,2020.0,1000,Levante,66950.0,5.0,Automatic,London
1538,SUV,180,Used,5.0,2.0,True,Land Rover,2019.0,3740,Range Rover Evoque,42290.0,5.0,Automatic,London
1539,Hatchback,155,Used,5.0,2.0,True,Volkswagen,2019.0,14170,Golf,22499.0,5.0,Manual,London
1540,Hatchback,108,Used,3.0,1.0,True,Ford,2019.0,12509,Fiesta,12500.0,5.0,Manual,London
1541,SUV,144,Used,5.0,1.6,True,Mercedes-Benz,2019.0,9789,GLA Class,19299.0,5.0,Automatic,London
1542,Hatchback,120,Used,5.0,1.4,True,Vauxhall,2018.0,10972,Corsa,8799.0,5.0,Manual,London
1543,Coupe,278,Used,2.0,6.0,True,Bentley,2018.0,10689,Continental,144450.0,4.0,Automatic,London
1544,Hatchback,93,Nearly New,5.0,1.0,True,Toyota,2019.0,9057,AYGO,9495.0,4.0,Manual,London
1545,Convertible,267,Nearly New,2.0,3.8,True,Ferrari,2020.0,838,Portofino,169950.0,4.0,Automatic,London
1546,Coupe,185,Used,2.0,3.0,True,BMW,2018.0,672,M2,38999.0,4.0,Automatic,London
1547,SUV,176,Nearly New,5.0,2.0,True,Land Rover,2019.0,3500,Range Rover Evoque,42999.0,5.0,Automatic,London
1548,Hatchback,110,Used,5.0,1.0,True,Ford,2018.0,45176,Fiesta,9799.0,5.0,Manual,London
1549,SUV,139,Used,5.0,1.6,True,Nissan,2019.0,11306,Juke,14000.0,5.0,Automatic,London
1550,SUV,134,Used,5.0,1.5,False,Honda,2018.0,15000,HR-V,9975.0,5.0,Manual,London
1551,Convertible,242,Nearly New,2.0,3.0,True,Jaguar,2020.0,10,F-Type,55699.0,2.0,Manual,London
1552,Hatchback,102,Used,5.0,1.0,True,Ford,2018.0,33342,Fiesta,11100.0,5.0,Manual,London
1553,Hatchback,97,Used,3.0,1.0,True,Ford,2018.0,32562,Fiesta,10100.0,5.0,Manual,London
1554,SUV,278,Nearly New,5.0,3.0,True,Maserati,2020.0,1000,Levante,63950.0,5.0,Automatic,London
1556,Saloon,327,Used,4.0,6.6,True,Rolls-Royce,2019.0,4101,Ghost,189950.0,5.0,Automatic,London
1557,Hatchback,118,Used,5.0,0.9,True,Nissan,2018.0,14863,Micra,9995.0,5.0,Manual,London
1558,Hatchback,128,Used,5.0,1.4,True,Vauxhall,2018.0,3767,Astra,10499.0,5.0,Manual,London
1559,SUV,341,Used,5.0,6.75,True,Rolls-Royce,2019.0,5669,Cullinan,274950.0,5.0,Automatic,London
1560,Coupe,255,Nearly New,2.0,4.0,True,Bentley,2019.0,1866,Continental,169980.0,4.0,Automatic,London
1561,Hatchback,93,Nearly New,5.0,1.0,True,Toyota,2019.0,2000,AYGO,10350.0,4.0,Manual,London
1562,Hatchback,93,Used,5.0,1.0,True,Toyota,2019.0,5000,AYGO,9850.0,4.0,Manual,London
1563,SUV,296,Nearly New,5.0,6.0,True,Bentley,2019.0,2000,Bentayga,189950.0,4.0,Automatic,London
1564,SUV,178,Nearly New,3.0,1.5,False,Suzuki,2020.0,25,Jimny,25500.0,4.0,Manual,London
1565,Hatchback,93,Nearly New,5.0,1.0,True,Toyota,2019.0,3000,AYGO,10350.0,4.0,Manual,London
1566,Hatchback,118,Used,5.0,0.9,True,Nissan,2018.0,5436,Micra,10495.0,5.0,Manual,London
1568,Hatchback,102,Used,5.0,1.0,True,Ford,2018.0,31437,Fiesta,11300.0,5.0,Manual,London
1569,Hatchback,114,Used,5.0,1.0,True,Ford,2018.0,13449,Focus,16050.0,5.0,Manual,London
1570,Hatchback,176,Used,5.0,2.0,False,Honda,2018.0,8300,Civic,25750.0,4.0,Manual,London
1571,Hatchback,129,Used,5.0,1.2,True,Ford,2018.0,2936,Ka+,10500.0,5.0,Manual,London
1572,Saloon,365,Used,4.0,6.75,True,Bentley,2019.0,11324,Mulsanne,249950.0,5.0,Automatic,London
1573,Hatchback,93,Nearly New,5.0,1.0,True,Toyota,2019.0,32,AYGO,10750.0,4.0,Manual,London
1574,Hatchback,97,Used,3.0,1.0,True,Ford,2018.0,31445,Fiesta,10100.0,5.0,Manual,London
1575,Convertible,260,Used,2.0,3.9,True,Ferrari,2019.0,265,488,209950.0,2.0,Automatic,London
1576,Hatchback,118,Used,5.0,0.9,True,Nissan,2018.0,1001,Micra,10995.0,5.0,Manual,London
1577,Hatchback,118,Used,5.0,0.9,True,Nissan,2018.0,3145,Micra,10695.0,5.0,Manual,London
1578,Hatchback,99,Used,5.0,1.0,True,Toyota,2018.0,8049,Yaris,10495.0,5.0,Manual,London
1579,Hatchback,93,Nearly New,5.0,1.0,True,Toyota,2019.0,32,AYGO,10750.0,4.0,Manual,London
1582,Hatchback,110,Used,5.0,1.2,False,Citroen,2018.0,2454,C3,11930.0,5.0,Automatic,London
1583,Hatchback,118,Used,5.0,0.9,True,Nissan,2018.0,4265,Micra,11495.0,5.0,Manual,London
1584,Hatchback,128,Used,5.0,1.4,True,Vauxhall,2018.0,15435,Astra,11499.0,5.0,Manual,London
1585,Hatchback,116,Nearly New,5.0,1.5,True,Toyota,2019.0,5000,Yaris,11795.0,5.0,Manual,London
1587,Coupe,357,Nearly New,2.0,6.6,True,Rolls-Royce,2019.0,2731,Wraith,228950.0,4.0,Automatic,London
1588,Hatchback,147,Used,5.0,1.6,True,Vauxhall,2018.0,10854,Astra,12000.0,5.0,Manual,London
1589,SUV,264,Nearly New,5.0,3.0,True,Maserati,2020.0,6500,Levante,59950.0,5.0,Automatic,London
1590,Hatchback,109,Used,5.0,1.5,True,Toyota,2018.0,8504,Yaris,11295.0,5.0,Manual,London
1592,Hatchback,112,Used,5.0,1.5,True,Toyota,2018.0,10101,Yaris,12000.0,5.0,Automatic,London
1593,Hatchback,108,Used,3.0,1.0,True,Ford,2019.0,12509,Fiesta,12500.0,5.0,Manual,London
1594,Hatchback,97,Used,5.0,1.0,True,Ford,2018.0,14212,Fiesta,11000.0,5.0,Manual,London
1595,Saloon,337,Nearly New,4.0,6.0,True,Bentley,2020.0,998,Flying Spur,194450.0,5.0,Automatic,London
